geo,date,TIME_PERIOD,month,month_num,tfr,tfr_ma_3,tfr_ma_13
AD,1960-01-01,1960,M01,1,,,
AD,1960-02-01,1960,M02,2,,,
AD,1960-03-01,1960,M03,3,,,
AD,1960-04-01,1960,M04,4,,,
AD,1960-05-01,1960,M05,5,,,
AD,1960-06-01,1960,M06,6,,,
AD,1960-07-01,1960,M07,7,,,
AD,1960-08-01,1960,M08,8,,,
AD,1960-09-01,1960,M09,9,,,
AD,1960-10-01,1960,M10,10,,,
AD,1960-11-01,1960,M11,11,,,
AD,1960-12-01,1960,M12,12,,,
AD,1961-01-01,1961,M01,1,,,
AD,1961-02-01,1961,M02,2,,,
AD,1961-03-01,1961,M03,3,,,
AD,1961-04-01,1961,M04,4,,,
AD,1961-05-01,1961,M05,5,,,
AD,1961-06-01,1961,M06,6,,,
AD,1961-07-01,1961,M07,7,,,
AD,1961-08-01,1961,M08,8,,,
AD,1961-09-01,1961,M09,9,,,
AD,1961-10-01,1961,M10,10,,,
AD,1961-11-01,1961,M11,11,,,
AD,1961-12-01,1961,M12,12,,,
AD,1962-01-01,1962,M01,1,,,
AD,1962-02-01,1962,M02,2,,,
AD,1962-03-01,1962,M03,3,,,
AD,1962-04-01,1962,M04,4,,,
AD,1962-05-01,1962,M05,5,,,
AD,1962-06-01,1962,M06,6,,,
AD,1962-07-01,1962,M07,7,,,
AD,1962-08-01,1962,M08,8,,,
AD,1962-09-01,1962,M09,9,,,
AD,1962-10-01,1962,M10,10,,,
AD,1962-11-01,1962,M11,11,,,
AD,1962-12-01,1962,M12,12,,,
AD,1963-01-01,1963,M01,1,,,
AD,1963-02-01,1963,M02,2,,,
AD,1963-03-01,1963,M03,3,,,
AD,1963-04-01,1963,M04,4,,,
AD,1963-05-01,1963,M05,5,,,
AD,1963-06-01,1963,M06,6,,,
AD,1963-07-01,1963,M07,7,,,
AD,1963-08-01,1963,M08,8,,,
AD,1963-09-01,1963,M09,9,,,
AD,1963-10-01,1963,M10,10,,,
AD,1963-11-01,1963,M11,11,,,
AD,1963-12-01,1963,M12,12,,,
AD,1964-01-01,1964,M01,1,,,
AD,1964-02-01,1964,M02,2,,,
AD,1964-03-01,1964,M03,3,,,
AD,1964-04-01,1964,M04,4,,,
AD,1964-05-01,1964,M05,5,,,
AD,1964-06-01,1964,M06,6,,,
AD,1964-07-01,1964,M07,7,,,
AD,1964-08-01,1964,M08,8,,,
AD,1964-09-01,1964,M09,9,,,
AD,1964-10-01,1964,M10,10,,,
AD,1964-11-01,1964,M11,11,,,
AD,1964-12-01,1964,M12,12,,,
AD,1965-01-01,1965,M01,1,,,
AD,1965-02-01,1965,M02,2,,,
AD,1965-03-01,1965,M03,3,,,
AD,1965-04-01,1965,M04,4,,,
AD,1965-05-01,1965,M05,5,,,
AD,1965-06-01,1965,M06,6,,,
AD,1965-07-01,1965,M07,7,,,
AD,1965-08-01,1965,M08,8,,,
AD,1965-09-01,1965,M09,9,,,
AD,1965-10-01,1965,M10,10,,,
AD,1965-11-01,1965,M11,11,,,
AD,1965-12-01,1965,M12,12,,,
AD,1966-01-01,1966,M01,1,,,
AD,1966-02-01,1966,M02,2,,,
AD,1966-03-01,1966,M03,3,,,
AD,1966-04-01,1966,M04,4,,,
AD,1966-05-01,1966,M05,5,,,
AD,1966-06-01,1966,M06,6,,,
AD,1966-07-01,1966,M07,7,,,
AD,1966-08-01,1966,M08,8,,,
AD,1966-09-01,1966,M09,9,,,
AD,1966-10-01,1966,M10,10,,,
AD,1966-11-01,1966,M11,11,,,
AD,1966-12-01,1966,M12,12,,,
AD,1967-01-01,1967,M01,1,,,
AD,1967-02-01,1967,M02,2,,,
AD,1967-03-01,1967,M03,3,,,
AD,1967-04-01,1967,M04,4,,,
AD,1967-05-01,1967,M05,5,,,
AD,1967-06-01,1967,M06,6,,,
AD,1967-07-01,1967,M07,7,,,
AD,1967-08-01,1967,M08,8,,,
AD,1967-09-01,1967,M09,9,,,
AD,1967-10-01,1967,M10,10,,,
AD,1967-11-01,1967,M11,11,,,
AD,1967-12-01,1967,M12,12,,,
AD,1968-01-01,1968,M01,1,,,
AD,1968-02-01,1968,M02,2,,,
AD,1968-03-01,1968,M03,3,,,
AD,1968-04-01,1968,M04,4,,,
AD,1968-05-01,1968,M05,5,,,
AD,1968-06-01,1968,M06,6,,,
AD,1968-07-01,1968,M07,7,,,
AD,1968-08-01,1968,M08,8,,,
AD,1968-09-01,1968,M09,9,,,
AD,1968-10-01,1968,M10,10,,,
AD,1968-11-01,1968,M11,11,,,
AD,1968-12-01,1968,M12,12,,,
AD,1969-01-01,1969,M01,1,,,
AD,1969-02-01,1969,M02,2,,,
AD,1969-03-01,1969,M03,3,,,
AD,1969-04-01,1969,M04,4,,,
AD,1969-05-01,1969,M05,5,,,
AD,1969-06-01,1969,M06,6,,,
AD,1969-07-01,1969,M07,7,,,
AD,1969-08-01,1969,M08,8,,,
AD,1969-09-01,1969,M09,9,,,
AD,1969-10-01,1969,M10,10,,,
AD,1969-11-01,1969,M11,11,,,
AD,1969-12-01,1969,M12,12,,,
AD,1970-01-01,1970,M01,1,,,
AD,1970-02-01,1970,M02,2,,,
AD,1970-03-01,1970,M03,3,,,
AD,1970-04-01,1970,M04,4,,,
AD,1970-05-01,1970,M05,5,,,
AD,1970-06-01,1970,M06,6,,,
AD,1970-07-01,1970,M07,7,,,
AD,1970-08-01,1970,M08,8,,,
AD,1970-09-01,1970,M09,9,,,
AD,1970-10-01,1970,M10,10,,,
AD,1970-11-01,1970,M11,11,,,
AD,1970-12-01,1970,M12,12,,,
AD,1971-01-01,1971,M01,1,,,
AD,1971-02-01,1971,M02,2,,,
AD,1971-03-01,1971,M03,3,,,
AD,1971-04-01,1971,M04,4,,,
AD,1971-05-01,1971,M05,5,,,
AD,1971-06-01,1971,M06,6,,,
AD,1971-07-01,1971,M07,7,,,
AD,1971-08-01,1971,M08,8,,,
AD,1971-09-01,1971,M09,9,,,
AD,1971-10-01,1971,M10,10,,,
AD,1971-11-01,1971,M11,11,,,
